emotion,metaphor,quote,suggestion
sadness,A cloud that won’t stop raining.,Every storm runs out of rain.,Take a short walk or listen to your favorite music.
joy,A balloon floating into a clear sky.,Joy is not in things; it is in us.,Celebrate with someone — joy grows when shared.
anger,A volcano waiting to erupt.,Speak when you are angry and you'll make the best speech you'll ever regret.,Try writing down what’s upsetting you — it helps to externalize it.
anxiety,A tightrope walk over foggy ground.,You don't have to control your thoughts. You just have to stop letting them control you.,"Try breathing in deeply for 4 seconds, hold for 4, then exhale for 4."
fear,A shadow lurking just beyond sight.,Do one thing every day that scares you.,Take one small action toward what you fear — progress shrinks fear.
loneliness,An echo in an empty hall.,The most terrible poverty is loneliness and the feeling of being unloved.,Reach out to someone — even a quick message can build connection.
hope,A candle flickering in the dark.,Hope is being able to see that there is light despite all of the darkness.,Visualize your future self — where would you like to be in one year?
love,A fire that warms without burning.,"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls.",Tell someone you care about them — love grows with expression.
confusion,A compass spinning in circles.,In the middle of difficulty lies opportunity.,Break the problem into smaller parts — clarity comes piece by piece.
excitement,A rollercoaster climbing the first hill.,The joy of life comes from our encounters with new experiences.,Channel your energy — write down what you're looking forward to.
guilt,A stone in your shoe on a long walk.,Guilt is a gift — it shows you still have a conscience.,Consider what action you can take to make amends or move forward.
gratitude,A garden blooming after the rain.,Gratitude turns what we have into enough.,Write down 3 things you're grateful for right now.
boredom,A clock ticking in an empty room.,Only the boring are bored.,Try something new — even a 5-minute change can re-ignite curiosity.
confidence,A lion walking through tall grass.,Believe you can and you're halfway there.,"Stand tall, breathe deep, and remember a time you succeeded."
embarrassment,A spotlight in a silent theater.,The greatest mistake you can make is to be afraid of making one.,Laugh at yourself — it's the fastest way to diffuse tension.
relief,A cool breeze after a heatwave.,Rest and be thankful.,Take this moment to breathe in peace — you've made it through.
envy,A green vine wrapping around the heart.,Comparison is the thief of joy.,Focus on your own growth — everyone blooms at their own pace.
shame,A heavy coat worn in the summer sun.,Shame dies when stories are told in safe places.,Talk to someone you trust — shame can't survive empathy.
pride,A flag flying high on a mountain peak.,Be proud of how far you’ve come.,Acknowledge your effort — you’ve earned this feeling.
inspiration,A spark catching fire in dry grass.,"Inspiration exists, but it has to find you working.",Take one small step — momentum builds from motion.
peace,"A lake at dawn, untouched and still.",Peace begins with a smile.,Protect your calm — say no to what disturbs your balance.
